division,period_start,new_outbreaks,temp_mean_c,humidity_mean_pct,precip_total_mm,area_km2,chicken_density_mean_per_km2,chicken_density_max_per_km2,est_chicken_headcount
Khulna,2017-07-01,0.0,25.23157608695652,87.19326086956521,2498.86,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2018-01-01,1.0,25.119337016574587,69.85044198895028,914.16,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2018-07-01,1.0,25.379945652173912,80.35217391304347,1099.92,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2019-01-01,1.0,26.513480662983422,63.20220994475138,709.52,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2019-07-01,0.0,25.211141304347827,87.00445652173913,1927.15,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2020-01-01,0.0,24.683406593406595,72.97318681318681,1276.32,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2020-07-01,0.0,25.45065217391305,86.47478260869566,1352.04,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2021-01-01,0.0,26.906132596685083,60.75082872928176,737.85,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2021-07-01,0.0,25.20179347826087,86.96929347826087,1506.65,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2022-01-01,0.0,25.777900552486187,70.02397790055248,589.13,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2022-07-01,0.0,25.309021739130433,83.2396195652174,1104.31,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2023-01-01,0.0,26.552375690607732,63.26,743.6,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2023-07-01,0.0,25.70032608695652,85.01059782608696,1266.95,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2024-01-01,0.0,26.389725274725276,65.94620879120879,661.46,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2024-07-01,0.0,25.54728260869565,86.31038043478262,1787.57,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2025-01-01,1.0,26.450165745856353,66.64535911602209,887.88,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Khulna,2025-07-01,0.0,24.762771739130436,86.33864130434782,1455.47,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Rajshahi,2007-01-01,14.0,26.30541436464088,54.58867403314917,486.25,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2007-07-01,13.0,24.579076086956523,84.28097826086957,1076.19,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2008-01-01,47.0,25.640274725274725,58.988461538461536,491.75,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2008-07-01,5.0,25.378315217391304,81.92347826086957,680.53,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2009-01-01,10.0,27.107845303867407,50.47834254143646,329.96,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2009-07-01,0.0,24.963043478260868,81.70429347826087,952.72,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2010-01-01,10.0,26.68022099447514,55.442044198895026,403.61,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2010-07-01,0.0,25.599456521739132,79.93211956521739,648.48,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2011-01-01,26.0,25.980276243093925,56.06883977900552,519.8100000000001,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2011-07-01,1.0,25.08891304347826,82.19309782608696,852.17,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2012-01-01,3.0,27.09736263736264,49.53016483516483,262.95,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2012-07-01,0.0,24.081684782608693,78.95548913043478,752.41,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2013-01-01,0.0,25.90657458563536,52.68132596685083,458.63,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2013-07-01,0.0,25.024184782608696,83.31228260869565,716.07,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2014-01-01,0.0,26.723480662983423,52.897734806629835,474.31,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2014-07-01,0.0,25.15788043478261,77.44505434782609,709.16,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2015-01-01,0.0,26.334696132596683,57.70596685082873,641.55,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2015-07-01,0.0,25.88434782608696,77.90135869565218,781.93,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2016-01-01,1.0,27.549285714285716,52.78675824175824,451.06,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2016-07-01,0.0,25.231141304347823,83.3808152173913,1119.47,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2017-01-01,1.0,25.844917127071824,62.70635359116022,656.7,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2017-07-01,0.0,25.271630434782605,85.66907608695652,1358.25,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2018-01-01,0.0,24.585027624309394,67.22740331491713,701.85,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2018-07-01,0.0,25.51119565217391,77.70809782608696,767.01,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2019-01-01,0.0,26.69961325966851,55.5532044198895,609.39,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2019-07-01,0.0,24.97842391304348,86.15711956521739,1271.77,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2020-01-01,0.0,24.288021978021977,69.39857142857143,952.79,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2020-07-01,0.0,25.297391304347823,85.40804347826086,1126.68,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2021-01-01,0.0,26.17602209944751,57.70696132596685,676.21,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2021-07-01,0.0,25.046956521739133,85.69782608695652,989.36,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2022-01-01,0.0,25.707734806629837,65.79149171270718,544.33,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2022-07-01,0.0,25.383206521739133,80.44940217391304,775.73,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2023-01-01,0.0,26.597679558011052,54.1992817679558,543.77,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2023-07-01,0.0,25.765380434782607,83.18646739130435,1097.96,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2024-01-01,0.0,25.90785714285714,59.37489010989011,566.11,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2024-07-01,0.0,25.51934782608696,84.64255434782608,1297.08,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2025-01-01,0.0,25.77011049723757,63.38419889502763,605.23,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rajshahi,2025-07-01,0.0,24.73592391304348,85.12423913043479,1221.69,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rangpur,2007-01-01,0.0,25.192099447513815,55.72558011049724,580.14,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2007-07-01,0.0,24.5375,81.84065217391304,1144.62,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2008-01-01,0.0,24.939175824175827,56.52115384615385,612.12,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2008-07-01,0.0,24.9075,83.15217391304348,944.96,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2009-01-01,0.0,25.731049723756904,53.47828729281768,466.07,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2009-07-01,0.0,24.546847826086957,82.25489130434782,1248.36,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2010-01-01,0.0,25.756187845303867,53.78099447513812,704.99,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2010-07-01,0.0,24.59804347826087,83.62684782608696,1272.97,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2011-01-01,9.0,24.776353591160223,57.59685082872929,598.95,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2011-07-01,0.0,24.63592391304348,82.71358695652174,1307.23,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2012-01-01,0.0,25.356978021978023,52.277802197802195,550.47,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2012-07-01,0.0,23.614782608695652,80.29320652173914,1119.92,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2013-01-01,1.0,25.136740331491712,51.18740331491713,666.42,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2013-07-01,0.0,24.558750000000003,83.9204347826087,1197.84,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2014-01-01,0.0,25.678453038674036,52.35220994475138,534.96,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2014-07-01,0.0,24.802608695652175,80.31418478260869,938.02,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2015-01-01,0.0,25.796740331491712,57.20011049723757,719.21,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2015-07-01,0.0,25.403695652173912,79.2783152173913,1121.94,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2016-01-01,0.0,26.465934065934068,51.56120879120879,913.13,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2016-07-01,0.0,25.15782608695652,84.30092391304348,1600.23,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2017-01-01,0.0,24.986961325966853,63.11066298342542,915.7,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2017-07-01,0.0,25.149565217391302,85.6191304347826,1700.89,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2018-01-01,0.0,24.262596685082872,63.89386740331492,1002.13,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2018-07-01,0.0,25.04467391304348,79.69798913043478,1116.21,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2019-01-01,0.0,25.514861878453036,57.038066298342535,700.04,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2019-07-01,0.0,24.650543478260868,86.00097826086957,2170.2,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2020-01-01,0.0,23.44,69.18587912087912,1396.97,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2020-07-01,0.0,25.01086956521739,85.57581521739131,2181.73,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2021-01-01,0.0,24.885635359116023,58.18259668508287,831.06,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2021-07-01,0.0,24.662554347826084,87.12146739130435,1685.21,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2022-01-01,0.0,24.105248618784533,71.63883977900552,1407.43,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2022-07-01,0.0,24.839347826086954,84.60592391304348,1115.3,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2023-01-01,0.0,25.487624309392267,56.63209944751381,856.17,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2023-07-01,0.0,25.362934782608693,84.30630434782609,1719.05,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2024-01-01,0.0,24.888736263736263,58.13021978021978,1063.36,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2024-07-01,0.0,25.09038043478261,85.94152173913044,1557.07,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2025-01-01,0.0,24.48204419889503,64.6896132596685,966.21,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Rangpur,2025-07-01,0.0,24.72538043478261,85.49038043478261,1517.62,16637.575662392297,2512.284360189574,4942.7021484375,41798321.12809885
Sylhet,2007-01-01,0.0,24.18303867403315,68.4953591160221,1512.96,12277.439480953744,1216.667943548387,2290.5,14937567.045331769
Sylhet,2007-07-01,0.0,24.87336956521739,84.8554347826087,1623.75,12277.439480953744,1216.667943548387,2290.5,14937567.045331769
Sylhet,2008-01-01,3.0,24.568626373626373,68.52499999999999,804.44,12277.439480953744,1216.667943548387,2290.5,14937567.045331769
Sylhet,2008-07-01,0.0,25.107934782608694,84.44190217391304,1123.93,12277.439480953744,1216.667943548387,2290.5,14937567.045331769
Sylhet,2009-01-01,0.0,25.42049723756906,65.64480662983425,1037.28,12277.439480953744,1216.667943548387,2290.5,14937567.045331769
Sylhet,2009-07-01,0.0,25.166684782608694,83.31864130434782,1342.17,12277.439480953744,1216.667943548387,2290.5,14937567.045331769
Sylhet,2010-01-01,0.0,24.895138121546964,70.89027624309392,1621.8,12277.439480953744,1216.667943548387,2290.5,14937567.045331769
