Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2018,Jan-Jun 2018,Asia,Bangladesh,"Khulna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2018,Jan-Jun 2018,Asia,Bangladesh,"Khulna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,-,Animal,385,0,0,385,-
2018,Jul-Dec 2018,Asia,Bangladesh,"Khulna","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5 (N untyped)",Wild,2872,"House Crow",62873,1,-,Animal,31,0,0,31,-
2019,Jan-Jun 2019,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Buffaloes",-,-,-,Animal,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Camelidae",-,-,-,Animal,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Cattle",-,-,-,Animal,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Goats",-,-,-,Animal,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Sheep",-,-,-,Animal,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Swine",-,-,-,Animal,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Bangladesh,"Khulna","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Bangladesh,"Khulna","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,-,"House Crow",-,-,-,Animal,31,-,-,31,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Buffaloes",-,-,-,Animal,-,-,-,-,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Camelidae",-,-,-,Animal,-,-,-,-,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Cattle",-,-,-,Animal,-,-,-,-,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Goats",-,-,-,Animal,-,-,-,-,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Sheep",-,-,-,Animal,-,-,-,-,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Swine",-,-,-,Animal,-,-,-,-,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Chittagong","Lumpy skin disease virus (Inf. with)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Chittagong","Lumpy skin disease virus (Inf. with)","",Domestic,-,"Cattle",-,-,360,Animal,66,0,0,0,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Dhaka","Lumpy skin disease virus (Inf. with)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Dhaka","Lumpy skin disease virus (Inf. with)","",Domestic,-,"Cattle",-,-,108,Animal,16,0,0,0,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Khulna","Lumpy skin disease virus (Inf. with)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Khulna","Lumpy skin disease virus (Inf. with)","",Domestic,-,"Cattle",-,-,77,Animal,33,0,0,0,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Khulna","Rabies virus (Inf. with)","not typed",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
